"COMPUTER_NAME","TYPE","LAST_WRITE_TIME","HIVE","KEY_PATH","ATTR_NAME","REG_TYPE","ATTR_TYPE","ATTR_DATA"
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\messages\de\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\messages\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\messages\fr\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\messages\ja\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\messages\ko\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\messages\zh_CN\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\win32\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\plugins\vmsvc\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\plugins\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\plugins\vmusr\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\plugins\common\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\messages\es\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\VMware\VMware Tools\messages\it\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\ProgramData\VMware\VMware Tools\Unity Filters\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Windows\Installer\{BA7062F8-AA28-4501-B91F-38D70110E749}\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","c:\Program Files\Common Files\Microsoft Shared\VC\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\Windows Kits\8.1\Debuggers\Redist\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\Windows Kits\8.1\Debuggers\","VALUE","REG_SZ",""
"JCLARK-E6430","installer_folder","2014-01-24 21:43:31","HKEY_LOCAL_MACHINE","Software\Microsoft\Windows\CurrentVersion\Installer\Folders","C:\Program Files\Windows Kits\8.1\","VALUE","REG_SZ",""
